iter	Passed	Remaining
458	810	955
459	811	953
460	812	950
461	813	947
462	814	945
463	817	944
464	819	942
465	821	940
466	822	938
467	823	935
468	824	933
469	825	930
470	826	927
471	827	925
472	828	922
473	830	921
474	831	919
475	833	917
476	834	914
477	835	912
478	836	910
479	837	907
480	838	904
481	839	902
482	840	899
483	841	897
484	842	894
485	843	892
486	846	892
487	849	891
488	850	888
489	851	886
490	852	883
491	853	881
492	854	879
493	855	876
494	857	874
495	857	871
496	858	869
497	860	867
498	862	866
499	863	863
500	864	861
501	865	858
502	866	856
503	868	854
504	869	851
505	870	849
506	871	847
507	872	844
508	873	842
509	876	841
510	878	840
511	879	838
512	881	837
513	882	834
514	883	832
515	884	829
516	885	827
517	886	824
518	887	822
519	888	819
520	889	817
521	890	815
522	893	814
523	894	812
524	895	810
525	896	808
526	897	805
527	899	803
528	899	801
529	900	798
530	901	796
531	902	794
532	903	791
533	905	790
534	907	788
535	908	786
536	909	784
537	910	781
538	911	779
539	912	777
540	913	775
541	914	772
542	915	770
543	916	767
544	916	765
545	917	763
546	918	760
547	920	759
548	921	757
549	922	755
550	923	752
551	924	750
552	925	748
553	927	746
554	928	744
555	929	741
556	930	739
557	931	737
558	931	735
559	933	733
560	934	731
561	936	729
562	938	728
563	940	726
564	941	724
565	942	722
566	943	720
567	944	718
568	945	715
569	945	713
570	946	711
571	947	709
572	949	707
573	950	705
574	951	703
575	952	701
576	953	699
577	954	697
578	955	694
579	956	692
580	957	690
581	958	688
582	959	686
583	960	683
584	961	681
585	961	679
586	962	677
587	964	675
588	965	673
589	967	672
590	968	670
591	969	668
592	970	666
593	971	663
594	972	661
595	973	659
596	974	657
597	974	655
598	975	653
599	976	651
600	977	649
601	980	648
602	981	646
603	982	644
604	983	642
605	984	640
606	985	638
607	986	636
608	987	634
609	988	631
610	989	629
611	990	627
612	991	625
613	991	623
614	992	621
615	994	619
616	997	619
617	998	617
618	999	615
619	1000	613
620	1001	611
621	1002	609
622	1003	607
623	1004	605
624	1004	602
625	1005	600
626	1006	598
627	1007	596
628	1009	595
629	1010	593
630	1012	591
631	1014	590
632	1015	588
633	1016	586
634	1017	584
635	1017	582
636	1018	580
637	1019	578
638	1020	576
639	1021	574
640	1022	572
641	1023	570
642	1025	569
643	1026	567
644	1027	565
645	1028	563
646	1029	561
647	1030	559
648	1031	557
649	1032	555
650	1033	553
651	1034	551
652	1034	549
653	1035	548
654	1036	546
655	1037	544
656	1040	543
657	1043	542
658	1044	540
659	1045	538
660	1046	536
661	1047	534
662	1048	533
663	1049	531
664	1050	529
665	1051	527
666	1052	525
667	1053	523
668	1054	521
669	1058	521
670	1059	519
671	1060	517
672	1061	515
673	1062	513
674	1063	511
675	1064	509
676	1064	508
677	1065	506
678	1066	504
679	1067	502
680	1068	500
681	1071	499
682	1073	498
683	1074	496
684	1075	494
685	1076	492
686	1077	491
687	1078	489
688	1079	487
689	1080	485
690	1081	483
691	1082	481
692	1083	479
693	1087	479
694	1089	477
695	1090	476
696	1091	474
697	1092	472
698	1092	470
699	1093	468
700	1094	466
701	1095	465
702	1096	463
703	1097	461
704	1098	459
705	1099	457
706	1101	456
707	1102	454
708	1103	452
709	1104	451
710	1105	449
711	1106	447
712	1107	445
713	1108	444
714	1109	442
715	1110	440
716	1111	438
717	1112	436
718	1113	435
719	1115	433
720	1116	432
721	1117	430
722	1118	428
723	1119	426
724	1120	425
725	1121	423
726	1122	421
727	1123	419
728	1124	418
729	1125	416
730	1126	414
731	1128	413
732	1132	412
733	1134	411
734	1135	409
735	1136	407
736	1137	405
737	1138	404
738	1139	402
739	1140	400
740	1141	398
741	1142	397
742	1143	395
743	1144	393
744	1145	392
745	1146	390
746	1147	388
747	1148	387
748	1149	385
749	1150	383
750	1151	381
751	1152	380
752	1153	378
753	1154	376
754	1155	375
755	1156	373
756	1158	371
757	1160	370
758	1162	369
759	1163	367
760	1164	365
761	1165	363
762	1166	362
763	1167	360
764	1168	358
765	1169	357
766	1170	355
767	1170	353
768	1171	351
769	1172	350
770	1174	348
771	1177	347
772	1178	346
773	1179	344
774	1181	342
775	1182	341
776	1183	339
777	1183	337
778	1184	336
779	1185	334
780	1186	332
781	1187	331
782	1189	329
783	1190	327
784	1191	326
785	1192	324
786	1193	323
787	1195	321
788	1196	319
789	1196	318
790	1197	316
791	1198	314
792	1199	313
793	1200	311
794	1201	309
795	1202	308
796	1202	306
797	1204	304
798	1206	303
799	1207	301
800	1208	300
801	1209	298
802	1210	296
803	1211	295
804	1212	293
805	1213	292
806	1214	290
807	1215	288
808	1216	287
809	1219	285
810	1220	284
811	1221	282
812	1222	281
813	1223	279
814	1224	277
815	1225	276
816	1226	274
817	1227	273
818	1228	271
819	1228	269
820	1229	268
821	1230	266
822	1231	264
823	1233	263
824	1235	262
825	1237	260
826	1238	259
827	1239	257
828	1240	255
829	1241	254
830	1242	252
831	1243	251
832	1244	249
833	1245	247
834	1246	246
835	1247	244
836	1251	243
837	1252	242
838	1253	240
839	1254	238
840	1255	237
841	1256	235
842	1257	234
843	1257	232
844	1258	230
845	1259	229
846	1260	227
847	1261	226
848	1264	224
849	1265	223
850	1266	221
851	1267	220
852	1268	218
853	1269	217
854	1270	215
855	1271	213
856	1272	212
857	1273	210
858	1274	209
859	1275	207
860	1276	206
861	1277	204
862	1279	203
863	1281	201
864	1282	200
865	1283	198
866	1284	197
867	1285	195
868	1286	193
869	1287	192
870	1288	190
871	1289	189
872	1290	187
873	1291	186
874	1294	184
875	1295	183
876	1297	181
877	1299	180
878	1300	178
879	1301	177
880	1302	175
881	1302	174
882	1303	172
883	1304	171
884	1305	169
885	1306	168
886	1307	166
887	1309	165
888	1310	163
889	1311	162
890	1312	160
891	1313	159
892	1314	157
893	1315	155
894	1316	154
895	1317	152
896	1317	151
897	1318	149
898	1319	148
899	1320	146
900	1321	145
901	1323	143
902	1325	142
903	1326	140
904	1328	139
905	1329	137
906	1330	136
907	1331	134
908	1331	133
909	1332	131
910	1333	130
911	1334	128
912	1335	127
913	1336	125
914	1338	124
915	1340	122
916	1341	121
917	1341	119
918	1342	118
919	1343	116
920	1344	115
921	1345	113
922	1346	112
923	1347	110
924	1348	109
925	1349	107
926	1350	106
927	1351	104
928	1353	103
929	1355	102
930	1356	100
931	1357	99
932	1358	97
933	1359	96
934	1359	94
935	1360	93
936	1361	91
937	1362	90
938	1363	88
939	1364	87
940	1365	85
941	1366	84
942	1369	82
943	1372	81
944	1373	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1378	72
950	1378	71
951	1379	69
952	1380	68
953	1381	66
954	1383	65
955	1384	63
956	1385	62
957	1386	60
958	1387	59
959	1388	57
960	1389	56
961	1390	54
962	1391	53
963	1392	51
964	1393	50
965	1393	49
966	1394	47
967	1395	46
968	1396	44
969	1398	43
970	1400	41
971	1401	40
972	1402	38
973	1403	37
974	1404	36
975	1405	34
976	1406	33
977	1407	31
978	1408	30
979	1408	28
980	1409	27
981	1410	25
982	1413	24
983	1414	23
984	1417	21
985	1418	20
986	1419	18
987	1420	17
988	1421	15
989	1422	14
990	1423	12
991	1424	11
992	1424	10
993	1425	8
994	1428	7
995	1429	5
996	1431	4
997	1432	2
998	1433	1
999	1434	0
